player_id,player_name,first_name,last_name,age,nationality,team_id,team_name,position_line,role,games,starts,minutes,rating,goals,assists,shots_total,shots_on_target,passes_total,key_passes,pass_accuracy,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_successful,fouls_drawn,fouls_committed,yellow_cards,red_cards,pos_group,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,key_passes_per90,tackles_per90,blocks_per90,interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempted_per90,dribbles_successful_per90,fouls_committed_per90,fouls_drawn_per90,yellow_per90,red_per90,shot_efficiency,duel_efficiency,dribble_efficiency,z_goals_per90,z_assists_per90,z_shots_per90,z_shots_on_target_per90,z_tackles_per90,z_interceptions_per90,z_duels_total_per90,z_duels_won_per90,z_dribbles_attempted_per90,z_dribbles_successful_per90,z_key_passes_per90,reliability,fair_score,forecast_score,player_tier
57383,M. Mehnert,Marcus,Johansen Mehnert,28.0,Norway,324,Stromsgodset,Midfielder,Spiss,20,12,1155,6.64,1,2,9.0,2.0,225,14.0,68.9,9.0,4.0,4.0,158,68,31.0,12.0,13,24.0,2,0,MID,0.07792207792207792,0.15584415584415584,0.7012987012987013,0.15584415584415584,17.532467532467532,1.0909090909090908,0.7012987012987013,0.20224719101123598,0.3116883116883117,12.311688311688313,5.298701298701299,2.4155844155844157,0.935064935064935,1.87012987012987,1.012987012987013,0.15584415584415584,0.0,0.1111111111111111,0.43037974683544306,0.3870967741935484,-0.61488690587154,0.357485924487943,-0.6855893518330444,-1.1913811894821817,-1.1921032448430469,-1.097584362684666,0.8400298214675199,0.48176775580309356,0.37270064673877357,0.21137603305028746,-0.08067172817972,1.0,0.24096385542168644,0.23373493975903584,senior
169190,K. Krasniqi,Kreshnik,Krasniqi,25.0,Kosovo,324,Stromsgodset,Midfielder,Sentral midt,21,13,1317,6.79,2,0,15.0,5.0,586,9.0,84.3,25.0,11.0,17.0,148,68,30.0,12.0,18,21.0,2,0,MID,0.1366742596810934,0.0,1.0250569476082005,0.3416856492027335,40.04555808656036,0.6150341685649203,1.7084282460136675,0.7517084282460137,1.1617312072892938,10.11389521640091,4.646924829157175,2.050113895216401,0.8200455580865603,1.4350797266514808,1.2300683371298406,0.1366742596810934,0.0,0.13333333333333333,0.4594594594594595,0.4,-0.21401182967436014,-1.0480036954683571,-0.10006961512165564,-0.627038782531433,0.13667200928197853,1.0448801674217874,0.057097093785816025,0.019635179325921105,0.05722043198270579,0.003720644695497981,-0.9299224748580657,1.0,0.3055077452667816,0.3055077452667816,senior
205137,T. Nemčík,Tomáš,Nemčík,24.0,Slovakia,331,Rosenborg,Defender,Stopper,23,22,1967,7.08,1,1,2.0,1.0,1810,6.0,91.4,37.0,17.0,21.0,179,94,9.0,3.0,24,32.0,1,0,DEF,0.045754956786985254,0.045754956786985254,0.09150991357397051,0.045754956786985254,82.81647178444331,0.27452974072191155,1.6929334011184545,0.7778342653787493,0.9608540925266904,8.19013726487036,4.300965937976614,0.41179461108286736,0.13726487036095578,1.4641586171835281,1.0981189628876462,0.045754956786985254,0.0,0.5,0.5251396648044693,0.3333333333333333,-0.2354122351913075,-0.19066541608226614,-1.225684938942215,-1.0167006376238759,0.046604506147842346,-0.04694088284955052,-0.02089996489610666,-0.25557018745229126,-0.6842778611187553,-0.8892955113600389,-0.7948933877583739,1.0,0.27796901893287423,0.28074870912220296,senior
264378,S. Tangvik,Sander,Tangvik,23.0,Norway,331,Rosenborg,Goalkeeper,Goalkeeper,30,30,2700,7.13,0,0,,,866,,74.9,,,,14,13,,,5,,1,0,GK,0.0,0.0,,,28.866666666666664,,,,,0.4666666666666667,0.43333333333333335,,,,0.16666666666666669,0.03333333333333333,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4518072289156625,0.46084337349397575,u23
264384,M. Ceïde,Mikkel,Konradsen Ceïde,24.0,Norway,331,Rosenborg,Defender,Stopper,25,24,2100,6.78,0,0,8.0,4.0,1505,2.0,92.6,27.0,10.0,13.0,135,67,2.0,1.0,10,17.0,5,1,DEF,0.0,0.0,0.4362050739957717,0.19827117224363738,64.5,0.08571428571428572,1.157142857142857,0.4285714285714286,0.5571428571428572,5.785714285714285,2.871428571428572,0.08571428571428572,0.04285714285714286,0.7285714285714285,0.4285714285714286,0.2142857142857143,0.04285714285714286,0.0,0.4962962962962963,0.5,-0.6545863589900254,-0.799283707826718,-0.25632874852692583,-0.27202605189536666,-0.7405841334393327,-1.1198232880422714,-1.1806965265753582,-1.4747654585898673,-1.0915238509774168,-1.124566139898991,-1.1818055371987062,1.0,0.15533562822719454,0.15688898450946648,senior
265448,M. Farji,Marko Hussein,Farji,21.0,Norway,324,Stromsgodset,Midfielder,Kant,29,27,2336,7.04,9,4,46.0,24.0,652,36.0,73.0,14.0,2.0,8.0,262,111,112.0,51.0,33,30.0,6,0,MID,0.3467465753424657,0.1541095890410959,1.7722602739726026,0.9246575342465753,25.11986301369863,1.386986301369863,0.5393835616438356,0.07705479452054795,0.3082191780821918,10.094178082191782,4.276541095890411,4.315068493150685,1.9648972602739727,1.1558219178082192,1.271404109589041,0.23116438356164382,0.0,0.1956521739130435,0.42366412213740456,0.45535714285714285,1.2193435458432185,0.3418426324850048,1.2512544049143461,1.1432642366950958,-1.4057290211601081,-1.1063280340214605,0.05007314339598144,-0.24297999157695543,2.0123668067150056,2.070629987032367,0.44771037445269996,1.0,0.4130808950086057,0.42960413080894994,u23
318416,M. Broholm,Marius,Sivertsen Broholm,21.0,Norway,331,Rosenborg,Midfielder,Kant,11,11,949,7.34,5,1,18.0,12.0,451,20.0,86.2,8.0,1.0,8.0,102,41,41.0,18.0,15,7.0,3,0,MID,0.47418335089567965,0.09483667017913593,1.7070600632244468,1.1380400421496313,42.77133825079031,1.8967334035827186,0.7586933614330874,0.09483667017913593,0.7586933614330874,9.673340358271865,3.8883034773445733,3.8883034773445733,1.7070600632244468,0.6638566912539515,1.4225500526870392,0.2845100105374078,0.0,0.2777777777777778,0.4019607843137255,0.43902439024390244,2.0888640569241264,-0.19271364749705755,1.13333923003941,1.7912400785532332,-1.1163785235242294,0.029055797256394594,-0.0998443478394224,-0.5182541988054563,1.6439761668863389,1.6051320449273927,1.357409723682746,1.0,0.542168674698795,0.5638554216867468,u23
411649,F. Ardraa,Fredrik Pau,Vilaseca Ardraa,19.0,Norway,324,Stromsgodset,Attacker,Sentral midt,29,22,2130,6.87,2,3,26.0,9.0,750,23.0,85.7,44.0,3.0,18.0,215,107,37.0,20.0,28,30.0,5,0,ATT,0.08450704225352113,0.1267605633802817,1.0985915492957747,0.380281690140845,31.69014084507042,0.971830985915493,1.8591549295774648,0.1267605633802817,0.76056338028169,9.084507042253522,4.52112676056338,1.5633802816901408,0.8450704225352113,1.267605633802817,1.1830985915492958,0.2112676056338028,0.0,0.07692307692307693,0.49767441860465117,0.5405405405405406,-1.1213422381356593,-0.1949182774333993,-1.1678360573542108,-1.4963312083614573,1.909798572654995,1.1029866980700207,-0.42211765390015565,0.05000798056245671,-0.3096780224950693,0.14884648376013251,-0.24504360475345008,1.0,0.6355421686746994,0.6736746987951814,youth
1189,E. Ceïde,Emil,Konradsen Ceïde,24.0,Norway,331,Rosenborg,Attacker,Kant,28,26,2284,7.23,5,8,32.0,22.0,791,54.0,75.9,14.0,2.0,2.0,238,98,90.0,43.0,34,16.0,4,0,ATT,0.19702276707530647,0.3152364273204904,1.2609457092819616,0.8669001751313485,31.169001751313488,2.12784588441331,0.5516637478108581,0.0788091068301226,0.0788091068301226,9.378283712784588,3.8616462346760065,3.5464098073555164,1.6943957968476355,0.6304728546409808,1.339754816112084,0.1576182136602452,0.0,0.15625,0.4117647058823529,0.4777777777777778,-0.5475259310506475,1.599197698492213,-0.8684353166350008,-0.14622996776376843,-0.7561023564393482,-0.7350363517204641,-0.3348141576858407,-0.35527705544072247,1.3206239049615722,1.8322864046647764,1.7623595248212345,1.0,0.8059380378657491,0.8139974182444066,senior
25378,I. Fossum,Iver Tobias,Rørvik Fossum,29.0,Norway,331,Rosenborg,Midfielder,Sentral midt,22,19,1607,6.96,2,3,16.0,7.0,792,18.0,86.3,29.0,2.0,11.0,116,55,12.0,3.0,11,6.0,0,0,MID,0.11200995644057249,0.16801493466085873,0.8960796515245799,0.3920348475420038,44.35594275046671,1.0080896079651525,1.624144368388301,0.11200995644057249,0.6160547604231488,6.496577473553204,3.0802738021157436,0.6720597386434349,0.16801493466085873,0.33602986932171747,0.6160547604231488,0.0,0.0,0.125,0.47413793103448276,0.25,-0.3823001237405966,0.46724880395559426,-0.33332622960317726,-0.4741440373089556,0.025470494543390364,-0.33045328736661317,-1.2315212267339453,-1.0911758262841122,-1.1323387719261513,-1.1734520707517109,-0.2284721362852466,1.0,0.3786574870912218,0.36351118760757295,senior
